Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7bvq_ready_Acadesine_uff_E=542.27,-6.3,0.0,0.0
7bvq_ready_Acadesine_uff_E=542.27,-6.2,24.714,23.208
7bvq_ready_Acadesine_uff_E=542.27,-6.2,11.639,8.396
7bvq_ready_Acadesine_uff_E=542.27,-6.1,27.116,25.503
7bvq_ready_Acadesine_uff_E=542.27,-6.1,14.028,12.028
7bvq_ready_Acadesine_uff_E=542.27,-6.1,26.217,24.603
7bvq_ready_Acadesine_uff_E=542.27,-6.1,24.569,23.126
7bvq_ready_Acadesine_uff_E=542.27,-6.0,11.661,9.433
7bvq_ready_Acadesine_uff_E=542.27,-5.9,13.477,9.178
7bvq_ready_Adaprolol_uff_E=312.27,-7.5,0.0,0.0
7bvq_ready_Adaprolol_uff_E=312.27,-7.5,12.627,8.308
7bvq_ready_Adaprolol_uff_E=312.27,-7.4,8.307,3.693
7bvq_ready_Adaprolol_uff_E=312.27,-7.3,13.62,9.742
7bvq_ready_Adaprolol_uff_E=312.27,-7.2,8.458,2.929
7bvq_ready_Adaprolol_uff_E=312.27,-7.1,20.738,17.49
7bvq_ready_Adaprolol_uff_E=312.27,-7.1,9.155,3.532
7bvq_ready_Adaprolol_uff_E=312.27,-7.1,7.955,2.72
7bvq_ready_Adaprolol_uff_E=312.27,-6.9,8.24,4.477
7bvq_ready_Arotinolol_uff_E=598.80,-6.9,0.0,0.0
7bvq_ready_Arotinolol_uff_E=598.80,-6.7,15.162,12.995
7bvq_ready_Arotinolol_uff_E=598.80,-6.6,2.092,1.592
7bvq_ready_Arotinolol_uff_E=598.80,-6.6,22.528,17.744
7bvq_ready_Arotinolol_uff_E=598.80,-6.5,4.271,3.01
7bvq_ready_Arotinolol_uff_E=598.80,-6.4,2.858,2.313
7bvq_ready_Arotinolol_uff_E=598.80,-6.3,10.581,6.916
7bvq_ready_Arotinolol_uff_E=598.80,-6.1,22.273,17.113
7bvq_ready_Arotinolol_uff_E=598.80,-6.1,20.585,18.868
7bvq_ready_Celvudine_uff_E=282.60,-6.5,0.0,0.0
7bvq_ready_Celvudine_uff_E=282.60,-6.3,43.953,42.22
7bvq_ready_Celvudine_uff_E=282.60,-6.3,4.479,3.347
7bvq_ready_Celvudine_uff_E=282.60,-6.3,3.671,2.041
7bvq_ready_Celvudine_uff_E=282.60,-6.2,3.101,1.969
7bvq_ready_Celvudine_uff_E=282.60,-6.0,44.773,43.013
7bvq_ready_Celvudine_uff_E=282.60,-6.0,16.548,13.505
7bvq_ready_Celvudine_uff_E=282.60,-5.8,9.112,7.673
7bvq_ready_Celvudine_uff_E=282.60,-5.8,44.794,43.087
7bvq_ready_Lanabecestat_uff_E=644.26,-9.4,0.0,0.0
7bvq_ready_Lanabecestat_uff_E=644.26,-8.3,8.869,4.028
7bvq_ready_Lanabecestat_uff_E=644.26,-8.0,8.036,4.396
7bvq_ready_Lanabecestat_uff_E=644.26,-7.9,23.535,21.064
7bvq_ready_Lanabecestat_uff_E=644.26,-7.7,12.38,10.977
7bvq_ready_Lanabecestat_uff_E=644.26,-7.5,5.368,3.004
7bvq_ready_Lanabecestat_uff_E=644.26,-7.5,17.029,15.575
7bvq_ready_Lanabecestat_uff_E=644.26,-7.3,9.707,4.379
7bvq_ready_Lanabecestat_uff_E=644.26,-7.2,24.356,22.15
7bvq_ready_Landiolol_uff_E=605.16,-8.2,0.0,0.0
7bvq_ready_Landiolol_uff_E=605.16,-8.2,5.327,3.237
7bvq_ready_Landiolol_uff_E=605.16,-8.0,2.202,1.93
7bvq_ready_Landiolol_uff_E=605.16,-8.0,9.213,5.187
7bvq_ready_Landiolol_uff_E=605.16,-7.8,3.836,2.411
7bvq_ready_Landiolol_uff_E=605.16,-7.7,9.788,5.328
7bvq_ready_Landiolol_uff_E=605.16,-7.6,4.55,3.212
7bvq_ready_Landiolol_uff_E=605.16,-7.5,10.205,5.809
7bvq_ready_Landiolol_uff_E=605.16,-7.4,4.762,3.416
7bvq_ready_Mepindolol_uff_E=439.15,-5.5,0.0,0.0
7bvq_ready_Mepindolol_uff_E=439.15,-5.4,2.295,1.598
7bvq_ready_Mepindolol_uff_E=439.15,-5.1,2.299,1.717
7bvq_ready_Mepindolol_uff_E=439.15,-5.1,19.041,16.978
7bvq_ready_Mepindolol_uff_E=439.15,-5.1,27.04,25.837
7bvq_ready_Mepindolol_uff_E=439.15,-5.0,26.517,25.247
7bvq_ready_Mepindolol_uff_E=439.15,-5.0,52.01,49.348
7bvq_ready_Mepindolol_uff_E=439.15,-5.0,26.723,25.17
7bvq_ready_Mepindolol_uff_E=439.15,-4.9,18.928,16.853
7bvq_ready_Metipranolol_uff_E=348.08,-6.5,0.0,0.0
7bvq_ready_Metipranolol_uff_E=348.08,-6.4,18.179,15.207
7bvq_ready_Metipranolol_uff_E=348.08,-6.3,2.811,1.975
7bvq_ready_Metipranolol_uff_E=348.08,-6.3,1.993,1.602
7bvq_ready_Metipranolol_uff_E=348.08,-6.3,17.032,15.218
7bvq_ready_Metipranolol_uff_E=348.08,-6.3,3.148,1.762
7bvq_ready_Metipranolol_uff_E=348.08,-6.0,4.966,3.063
7bvq_ready_Metipranolol_uff_E=348.08,-6.0,18.801,15.347
7bvq_ready_Metipranolol_uff_E=348.08,-5.9,26.269,24.155
7bvq_ready_Penbutolol_uff_E=419.46,-6.5,0.0,0.0
7bvq_ready_Penbutolol_uff_E=419.46,-6.5,5.668,1.959
7bvq_ready_Penbutolol_uff_E=419.46,-6.3,5.544,1.786
7bvq_ready_Penbutolol_uff_E=419.46,-6.1,3.177,1.733
7bvq_ready_Penbutolol_uff_E=419.46,-6.1,5.312,2.277
7bvq_ready_Penbutolol_uff_E=419.46,-6.0,3.367,2.231
7bvq_ready_Penbutolol_uff_E=419.46,-6.0,4.284,1.79
7bvq_ready_Penbutolol_uff_E=419.46,-6.0,3.897,1.573
7bvq_ready_Penbutolol_uff_E=419.46,-5.8,1.517,1.289
7bvq_ready_Tertatolol_uff_E=350.24,-6.9,0.0,0.0
7bvq_ready_Tertatolol_uff_E=350.24,-6.5,17.656,14.995
7bvq_ready_Tertatolol_uff_E=350.24,-6.5,17.452,15.456
7bvq_ready_Tertatolol_uff_E=350.24,-6.3,17.915,14.9
7bvq_ready_Tertatolol_uff_E=350.24,-6.2,17.656,15.627
7bvq_ready_Tertatolol_uff_E=350.24,-6.1,17.761,15.778
7bvq_ready_Tertatolol_uff_E=350.24,-6.0,18.222,16.001
7bvq_ready_Tertatolol_uff_E=350.24,-5.8,13.382,9.929
7bvq_ready_Tertatolol_uff_E=350.24,-5.8,7.046,4.552
